SN,Execution_time_without_test
572,0.03164520
573,0.03170170
574,0.03176680
575,0.03183530
576,0.03190640
577,0.03197370
578,0.03203900
579,0.03210480
580,0.03217520
581,0.03224270
582,0.03231060
583,0.03237900
584,0.03244440
585,0.03250700
586,0.03257220
587,0.03263900
588,0.03271260
589,0.03278000
590,0.03284790
591,0.03291690
592,0.03298410
593,0.03304670
594,0.03311550
595,0.03318350
596,0.03324970
597,0.03331690
598,0.03338220
599,0.03344840
600,0.03351490
601,0.03355270
602,0.03359040
603,0.03362710
604,0.03369260
605,0.03375930
606,0.03382370
607,0.03389010
608,0.03394500
609,0.03400100
610,0.03406360
611,0.03411400
612,0.03417650
613,0.03424030
614,0.03430120
615,0.03436790
616,0.03443010
617,0.03449520
618,0.03455840
619,0.03461990
620,0.03468220
621,0.03474840
622,0.03481480
623,0.03488070
624,0.03492430
625,0.03496020
626,0.03499970
627,0.03505210
628,0.03508790
629,0.03514630
630,0.03520170
631,0.03540320
632,0.03558590
633,0.03565060
634,0.03570450
635,0.03576370
636,0.03586540
637,0.03597480
638,0.03605630
639,0.03611320
640,0.03617600
641,0.03623060
642,0.03628870
643,0.03634380
644,0.03639840
645,0.03645250
646,0.03652440
647,0.03658840
648,0.03665490
649,0.03672050
650,0.03678760
651,0.03684940
652,0.03690870
653,0.03697400
654,0.03704240
655,0.03710900
656,0.03717310
657,0.03723010
658,0.03728540
659,0.03734130
660,0.03740830
661,0.03747650
662,0.03753180
663,0.03766660
664,0.03774940
665,0.03781640
666,0.03790230
667,0.03797750
668,0.03804920
669,0.03811820
670,0.03818440
671,0.03823080
672,0.03826770
673,0.03830470
674,0.03834070
675,0.03837660
676,0.03841330
677,0.03845140
678,0.03849200
679,0.03853360
680,0.03857040
681,0.03860860
682,0.03864830
683,0.03869410
684,0.03873130
685,0.03876710
686,0.03880260
687,0.03883730
688,0.03887300
689,0.03890880
690,0.03894720
691,0.03898270
692,0.03901810
693,0.03905450
694,0.03911130
695,0.03916880
696,0.03922170
697,0.03927060
698,0.03932340
699,0.03937160
700,0.03940820
701,0.03945200
702,0.03949480
703,0.03953070
704,0.03956600
705,0.03960150
706,0.03963640
707,0.03967390
708,0.03971010
709,0.03974490
710,0.03977980
711,0.03981650
712,0.03985470
713,0.03990970
714,0.03997310
715,0.04003670
716,0.04009860
717,0.04016250
718,0.04023210
719,0.04030630
720,0.04037150
721,0.04043890
722,0.04050340
723,0.04056980
724,0.04063640
725,0.04069810
726,0.04076360
727,0.04080860
728,0.04084440
729,0.04087950
730,0.04091500
731,0.04095010
732,0.04098530
733,0.04102110
734,0.04105630
735,0.04109110
736,0.04113120
737,0.04116650
738,0.04120190
739,0.04123630
740,0.04127110
741,0.04130610
742,0.04134080
743,0.04137580
744,0.04141030
745,0.04144790
746,0.04148340
747,0.04151840
748,0.04155390
749,0.04158900
750,0.04162700
751,0.04166210
752,0.04169770
753,0.04173240
754,0.04176720
755,0.04180190
756,0.04183700
757,0.04187180
758,0.04191050
759,0.04194570
760,0.04198070
761,0.04201530
762,0.04205040
763,0.04208560
764,0.04212060
765,0.04215560
766,0.04219000
767,0.04222450
768,0.04225970
769,0.04229450
770,0.04233040
771,0.04238300
772,0.04245040
773,0.04251110
774,0.04255410
775,0.04260230
776,0.04265420
777,0.04269020
778,0.04274760
779,0.04279180
780,0.04282730
781,0.04286280
782,0.04289750
783,0.04293210
784,0.04296760
785,0.04301210
786,0.04306120
787,0.04309620
788,0.04313100
789,0.04316600
790,0.04320050
791,0.04323470
792,0.04327910
793,0.04331400
794,0.04334850
795,0.04338290
796,0.04341720
797,0.04345170
798,0.04348590
799,0.04353450
800,0.04356930
801,0.04360610
802,0.04364160
803,0.04367740
804,0.04371310
805,0.04374820
806,0.04378400
807,0.04381970
808,0.04385500
809,0.04389020
810,0.04392510
811,0.04395970
812,0.04399430
813,0.04402940
814,0.04406350
815,0.04409860
816,0.04414010
817,0.04419160
818,0.04422800
819,0.04426320
820,0.04429800
821,0.04433190
822,0.04437160
823,0.04440620
824,0.04444250
825,0.04447720
826,0.04451860
827,0.04456950
828,0.04460660
829,0.04464140
830,0.04467530
831,0.04470930
832,0.04474330
833,0.04477750
834,0.04481270
835,0.04484770
836,0.04488190
837,0.04491670
838,0.04495120
839,0.04498510
840,0.04501970
841,0.04505460
842,0.04508900
843,0.04512380
844,0.04516270
845,0.04519700
846,0.04523150
847,0.04527770
848,0.04532420
849,0.04537750
850,0.04543210
851,0.04546720
852,0.04549990
853,0.04553230
854,0.04556430
855,0.04559920
856,0.04563150
857,0.04566400
858,0.04569630
859,0.04572870
860,0.04576400
861,0.04580330
862,0.04583550
863,0.04586810
864,0.04590080
865,0.04593790
866,0.04597080
867,0.04600360
868,0.04603680
869,0.04606980
870,0.04610490
871,0.04613790
872,0.04617050
873,0.04620290
874,0.04623600
875,0.04626860
876,0.04630090
877,0.04633970
878,0.04637460
879,0.04640970
880,0.04644460
881,0.04648060
882,0.04651540
883,0.04655010
884,0.04658420
885,0.04662050
886,0.04665560
887,0.04669000
888,0.04672900
889,0.04676330
890,0.04679780
891,0.04683270
892,0.04686690
893,0.04690150
894,0.04693660
895,0.04697170
896,0.04700640
897,0.04704220
898,0.04707770
899,0.04711360
900,0.04714890
901,0.04718380
902,0.04721830
903,0.04725320
904,0.04728850
905,0.04732380
906,0.04736080
907,0.04739740
908,0.04743570
909,0.04749370
910,0.04753650
911,0.04757450
912,0.04761370
913,0.04765200
914,0.04768990
915,0.04772660
916,0.04776440
917,0.04780130
918,0.04784050
919,0.04787830
920,0.04791650
921,0.04795410
922,0.04799170
923,0.04803160
924,0.04807370
925,0.04811210
926,0.04815050
927,0.04818790
928,0.04822480
929,0.04826170
930,0.04829930
931,0.04833670
932,0.04837790
933,0.04841350
934,0.04844870
935,0.04848360
936,0.04851790
937,0.04855320
938,0.04859010
939,0.04864060
940,0.04869900
941,0.04875410
942,0.04881690
943,0.04887120
944,0.04893160
945,0.04899410
946,0.04905810
947,0.04912190
948,0.04918950
949,0.04925340
950,0.04931670
951,0.04935840
952,0.04939330
953,0.04942770
954,0.04946160
955,0.04949590
956,0.04953040
957,0.04956420
958,0.04960080
959,0.04963490
960,0.04966970
961,0.04970310
962,0.04973750
963,0.04977150
964,0.04980500
965,0.04983900
966,0.04987280
967,0.04990700
968,0.04994100
969,0.04997550
970,0.05001370
971,0.05004780
972,0.05008140
973,0.05011620
974,0.05015370
975,0.05018890
976,0.05022370
977,0.05025890
978,0.05029440
979,0.05032900
980,0.05036160
981,0.05039370
982,0.05042610
983,0.05045800
984,0.05049040
985,0.05052310
986,0.05055510
987,0.05058900
988,0.05062150
989,0.05065330
990,0.05068510
991,0.05071720
992,0.05074960
993,0.05078560
994,0.05082350
995,0.05085620
996,0.05088860
997,0.05092050
998,0.05095290
999,0.05098510
1000,0.05101740
